user_index,rec_1,rec_2,rec_3
1suzeeq,pechipy1,pechipy,buxbar
1yogagirl,javafan28,kjminton,mochachocha
3ebfan,decaf_coffee,seahawk1,wendella
44rsleave,zigzag,flying_fish,ohitsrai
5fcfa971-335a-4ada-a4d4-934c5ad32635,leftoverpeas,toomuchcoffee,mikemooney
abug,5fcfa971-335a-4ada-a4d4-934c5ad32635,iamme4ever,nuts4coffee9
aburchardt,sbuxstudent,espressojoy,frappaholic
acolon1024,alittlelove,klagirl,caille
aedjones,sweetercandies,boldallday,catbiteme
aghorse,fusionlatte,starbucksguru12,dinorawrrs
akaydgm,ltwinc@a,db1105,lillywhite
alanisfuzzy,kitenarie,happybeany,vogt_raiders
amycat,pumpkinmocha,doobydoo,momofadelle
angel70,colette51,cardipup,ohyou
anna80020,bgood2me,deseree,badanimal
annabanana89,driptease,shiftdoug,ylyl_boi
annestarbucks,rockfish,notpikespeak,ganzlecker
another8a,jolt,calm_dn,dks64
arb0703,xbelllax,catscradle,plissken1984
auditna,edgebarista,brodave,lukeforester1
audreym6,ssbmaverick,kinzington,jevvels
avion321,taycon9799,graprongirl,zigzagpapers
avivanco,flukes,geminigal,elitewolverine
aworldfreeofms,sanani_,parcaso,cupojoe4evamoe
baanky,kiwisoup,sjclynn,manitoba
bab1883,msfeli7,bieskalee,frmrbarista
beavervalley,13breills,meanbeans,biscottidog
bec,quickinstinct,newgirl0802,adamrobertt
becabreu,tennis4vr,goldensparrow,lil_skmo
bekka4,danib62,shiftysarah,pmww2486
benchley2,eljediloco,desertdummy13,truenorthblond
betterbefore,dashedto,gameplan,bharison2
bjolliff,littoazndogg,ash_sk8s,braums
bjornlarson,dbob,flogger1,izze
bobreese,justsmilestevi,lisabeth313,1950bing
bonebag227,academic2,issaellen,ligrl4387
brianb23,megatron,justpris,jeremysz
briand92,qalattedrinker,makeitbold,caitie
brittany4sbux,curlyhead,fromru,sbxkenz
brodes,utlemur,jmluci,melalala
brtlght103,denitsapetkans,cafe77,themoon
caffieneluv,rachelbucks,gapkid,blondrach
camptatum,samedicman,stabux_barista,partyelf
carguysm,rebelbballgirl,chefmela,ashesvondust
carollyn,dv8angl,dkrst,levis1girl
catville,lydecker,mdmenzel,siriusmindfrap
ccantieri,sonnyb,sashacooper,stbuxcupcake
cfurrun,elefa,decaffat,atlsm13
chaifreak,splenda,dmarkette,sweet101
chaitealover,hi_biscuit,nineofseven,drspears
cherrybomb2727,nikkishear,joe9614,2twigs
chicagosbrocks,gira,tboy1993,1custmr
chu,transitrider32,bux_srvc_rep,gimmemylatte
ckenndy3,srf,coffeeberry,cpease
clahr02,jerseymom,danielajones,involvedone
claudiag,otakumarz,artscis,avion321
claywings,onlyme,morningbecomes,bitemetwo
cmlstudio,otay,30ish,cvln94
cmt14,yoonix,joker402,momof9
cns0714,jbronste,laurencaporimo,blikeme
cocopuff32,desertdummy,jester8909,teavanalover
cofesnob,ana,zacholleyshow,baristasnob2
coffeecrazy101,seatleslew,asdfghji,frappypower
coffeediva212,paid,ffstarbucks,uonleliveonce
coffeelvr63,azhiker,kekekeitsangee,rkoppel
colemkiniry,jujubeth,jenconnolly,opheliachai
collin1026,sbxstar7,particlelover,saharan
comicslover,sammocha,marksebiz,hikeforfun
conniemx,cita24,xpelled,plummeat
coptic,baristacb,mrfusion,nerdybirdy
coylee,sehrishali16,coptic,connectiveone
cozy,robinrrv,exoboy,caterade
crnemz,nbillmyre,amyblue,caramelpecan
crwkaw2000,gingin2,thedennisclan1,dianekm1
csallred,caseyhoux,d5,piratemomma3
cupajoe4evamoe,caliirishfan,idk,studentc
cuppa306,kpeal,cupajoemama,gymrat@starbks
d1nonly,luvsespresso,cofesnob,megainia
danielle,scanfrk,tyutyu,famof5
danyellg,yalleh,section221,johnsoperv5
debbiejf,whammo,littledoosie,gtikid
deeter1994,sand42man,tehandy,lulu_bee23
deetfind,djbruce,yopaljeff,kilroywashere
dhurley,kelsey498,boozwaa,baristaclee
diek,starkbck,dopey1st,ventiman45
dkchocodrinker,sdaisy,s0ybean,xnamkcor
dmilsner,talldripplease,ycp777,tonyadams
drinks1,sashazeus,amt005,jha1979
drsjatu,badbishbarista,mhacon,ashishw31
dsphilly,sixthromeo,jennc2112,ptwfasho
ecgilson,lovepairs,alexandrag1224,eat2much
efrogel0,matchsticks,xj22by8,deewee
elsmd,sremle,jenik,jenn55
emacs,meaganjoy,jdeetch,littlegodzilla
emd220,cowlova311,brzyana,hotlatte
emilie_dance,misscar,elliesha,frapdrnkr1031
em_seeg,amynico,danielg,lovmochafrap
ericj610,shiftrash,danafan,jmclean5439
erinverboom,quaddle,the626drew,atxamgr
evadare,funnshyn,mmiller0824,egan
evanschwa,gypsy,linda115,jasper
extrahotmocha,facebkart,djfromusa,cafeberry
fictoriee,cdclnd,scrumdidlly,zelata
fixthis,lindalouca,mrfudgedonut,nate_testa
flatland,artbroker,eezacque,jessica1321
flying_fish,svnicole,cophegui,kafei
forabetterstrb,thatwoodardgrl,nat1020,eight17
frapplover,cbachinger,mochaextreme,papalvarado
freesyrup,jporrico,10secondrule,kosmers
fseguin23,k2vball,karlos78,billfnc
garymcd,espresso100,mokhamar,kayydarling
gatormama,carynw,artsidea,newmommy84
georgekatie81,carawesty,minniebunny,soyhotcoco
gobo,vmartires,marcusleonard,msmonicarae
gotogirlclt,crmlmacc,wtglover34,bgweorg
gr8auntie,dm13,coffeeclanky,bearistafan
grahamb,kat8024,oldpunkchick,tiaveg
greatmoc,terruno,myquestions,sherrim
gretchen1109,ukcolinr,homo,lynn12376
grniz,jholder,mochalot,scp1
gsobel,sbuxgirl,nomelon,iumissy
haydukeii,chaitea9,sfarr101,jimsolo
historic,milla_frapp,getoverit3,clearwaterways
hjohnson14,barker66,lcw916,dickturpin
hmaxone,crowned1,spyk,hillmaxwell
hnlworker,corbie,lilikoi,rebafan
holmesr1,momnan30,hyska911,vindio
hudtex,dteague22,dumbfounded2,adadepeace19
hundertmark,barista_erin59,welcomingone,bettie
ibarista,lkb4jsd,ac10392,johnnyo3
inspectrex,rachelliang,virgo,get_skittled
inspiredwish,budtkaboy2000,espressoguru,trishajoy
ipo218,gmcaulif,snicole,james9371
irishone,kealoha1,bykergus,eam123
issaellen,fishhead,yodalayheehoo,bige
itskrisyle,moore14,jaymacc,pamb456
jakishere,srlhipie,aviator4,strbuxluver
jamby,smartangel106,strbcks_junkie,1ceaday
jamielee,barb98029,jeffisal,snozbery
janlooper,tea4mel,mchart,pavlos
javajavajava,ddinnel,erickapalace,snowwrite80
javalover33,cheriber,bigguyiam,milkman97
javastud,justinflood,charlesl,cerksees
jaymacc,meauho,chichi82,fseguin23
jcsoda,laguna,gr8auntie,rhayden25
jeremiahstingl,starbuxk,garybocian,hsmith
jerilee,nattyfoshatty,jdifran,kathyleigh
jester8909,creamfraplover,sbuxb,klunasco
jetlagpam,jarmist2,deliciousdrink,miahza315
jholder,sheri402,jjpylp,rae30
jimokla,coffeegal69,frapprincess34,archigos
jiujitsugirl,frappfaithful,superman0001,barista_boy1
jlr50,master,nicole84,yum2me
joaceves0804,auntnana21,kimjones322,ljb
jodys,ashnoble,mensch,ashaw2010
johnb911,yoginat14,ochs,rjohnson355
joyful369,careylscott,sk3adik,dolceplease
jujubeth,pf0407,oneofone,kpmsprtd
julesi2,stormy82,carol04,seanny
julie780,sbxparis,elhaym22,tiredofusernam
julywest,csulbstudent,alex714,lettercarrier
kaichela,simoncarey,nikiki,soylover21
karissao,jamee_ko,gigi1963,nuffluv
katlatte,therealist,creativeone,cosmoswarrior
katrinar,josefina,allycatt,speyman
kbgrissom,tylovescoffee,mdsystem1,izzy1
kdr0125,mfamcafe,ldylatte,dtracey
khanefeld,mark6275,songseed,kymmer
klagirl,starpopcorn,cltsoxfan,jwsdago
kmi29,feel4ek,mom@40,javajap
kolendon,psalad,enchanting,fishgirl8402
kstahl,soylova,kerziemoto,crimsonl
kwowtehmok,jcoffee,seamusnw,katenotkatie
latte2you,alyshja,amekakon,conniemx
lawber,amontana,bobrob23,cathohar
lbt,consmaca,danwilly,davechen
lesdents,dinomatt,edmcnama,ericarow
lewser921,garwallc,gayman99,greggnoe
leytonstone,hannahsp,henradam,howardfr
lilikoi,irisharr,jackwill,jakerobb
linden16,janewilk,jeddobbs,juanpetm
lishadawn43,kadastre,lanahdy,louis888
lorib65,luishort,luxlucid,mannymen
lovehotcocoa,msbuterf,nedpatz,nicknett
lovingsbucks20,opheliaw,pinkpan,rachoblo
lrschear,rodmcd55,sarastin,seromski
lukesterski14,susansan,tonicarr,tonyrevk
luvsespresso,trentpot,willydee,yolandar
lytlee,urbansky,ason67,lorenzoyorker
mae1,khinton,whoami,superbeanme
malary1554555,nnelson,quben,ellemo
marggieannie,monalisa,firewife2,scottmlederer
markasmith,rounthecorner,nanabetsy,asophist
marylou_,rmg360,froggysmile,draagonfly
mdsystem1,ptmoss,booboobear,dsonyay
meanbeans,jessicamused,rasberrytruffs,michmill
melg,needsoy,jekaal4b,vixjean
mels_coffee,javahot,poipuppy,kimberly4
melthom,jewls21,coffeefor2,mlg
meme,purpinkary,theresaonetwo,tim_sandor
mg22,caramelfrapgal,agentofsbux,patrickm
mhill95,stbxgirl,agleaso1,cupnhand
mickey,turn8,sfbiker,zeli
missbssy,dpartsman,prinster,mcslain
mlbarber,scords,mocholat,tydogg13
mochachocha,malnyc,thewitch,tamer
mochafreak0,lsposta,kpntexas,kaspytek
mokigirl,zonlyone,benurbud,immarc
mom@40,freesoytoday,karapjackson,tebitevas
moonfish124,vortexbanding,palekar2,ajolie7
morrigan64,bf1967,jiujitsugirl,tyra5587
mransom,pinkandyellow2,brezel,jchow
mrg1973,sparklegirl,boomerman,sbx_eluk
mselenica,eeames,lch396,lvbcks69
mulderjam,coffelover11,nicolee16,emma_sbux
musikdude,jastoni,loansb,schlueter
mvo,tarsier,noracharles,jaimelee
mynameislauren,aspettam,frappucino1,alicejoart
mzwynter,cdfaircontrol,meb0725,ahoysoy
nehrrep,westsidecarrie,msbux,dosarbolitos
nyyankeesny26,caranjeff,piperangel,medbarista
ohpetal,dubaj,vanthema,latte21
okiepokie,bonnadee,airportman871,itsglutenfree
omggmo,llmiller25,schteekaline,ideliversbux
originaladr,gabaristajenn,dchamber26,faye
orwell88,nelliestar,dccflover16,catherine101af
palekar2,lanahe0319,eliwooten,roaster2531
pangea,xuxa,birdsanswings,joe20
perkinson,cfurrun,whitemocha0520,stylnshar
perkybrain,anywavedave,apaasch,mellowroast
phleb,jrmichaels,indymom,gkrew123
pinoak19,eredleski2511,2mekkababble,benista
pittsburgh0912,dana1177,ljdcooks,szyoo7
play2windad,sox,jennhembd,dk7942
pmww2486,gotbucks,runninggirl42,mikelambert2
portillo,soccercow,mybunny,doctorwi
qsouz99,jbushman82,seychelles,tabi
quadshotabe,itstaylor_,mishka,cbsmith7
rawff,teller44,cupofchai,asrudin
rkymtgirl8,lblair,sbk101,scorpizious
robie,taylor10tay,garzaster,jamielady
rockfish,kaichela,balm1935,cgnikkis
rodkarg,christylongo,cinsam77,cjordan7389
roknrobn,dookey21,gande,carlitosway
rosehip,thepoelady2012,mismash,coffeeguy70
rosieb,cgypsy,dealmakerre,maeven
rotto,shriyakn,aflam,benedictify
rpeden,camdenlake,candersonjax,dakinok
ruvain,devinecoffee,edenburnin,dianadelite
ryanmh,angelmis,baristalete16,dkchocodrinker
r_rachelle,jrsteele11,sarah_g,jrroche
sabfsu,baristalexia,starbuk1,qol1
sadinjc,orange,fidm22,lumber
saltedcaramel,michijun,missamer,bobcoffeeman
sbb722a,msmisto,thebeekeeper,jpilkrn
sbuxdaily,kmokello,eirelav,ataritastic
sbx_eluk,melebop,joysanchez,lcoreilly
schteekaline,lattebuck,jonpop16,luvpink
scottsla,gfreegirl,bookmom,joanannharbuck
sequinsupreme,cathy246,223chip,alma
sfbiker,aniwka,1greenbean,freesyrup
sfcitynative,acoffee83,andrea64,brvheart2005
sgob88,cafeendragon,caffinehigh20,cakeforlove
she123,coffee03,dandannyc1,gabe2leebee
skinamon,honeymm,jbranzovsky,jonluc518
snikle1021,lauraruiz,lizlove,lyndamouse
sophia333,michyelle,pookiiz,rose9048
spearsluvbucks,shobielala1,skicoffee,tesbian
starbaby,tigger227,ucabears8,ashtarisborn
starbackscrazy,erid2,erogers14,kaua
starkbck,ktr010,leighcarti,lei_ganda
stef6886,medknocker,mitra,omaevie
stjapkes,raymundt,sithaith,smjblair
sunflowersue30,soheee,steelergirl,sweetcoffe
sunglechic,sweetstar,tnicholle,trentaiced
sunjester,countrybees,lineman2,eagles123
sunpelic,frapitup,juliejewlz,dinnae
supersanborn,jaimesjo,kenhowk,h3t3pu4us4r
superstarsha77,alotofcoffee,considerateone,buster7
suzy_mocha,drwright,amunjain,sgreenwell
sweet101,strockrm,geckofre,ninotwo
tashiitsuko,sbuxluv8,sailormoon,javahunk
taylor10tay,pmortson,samasama,pfeiffer
teachrunning,starsemployee,dunc7,emstiger
tealattefan,abbieduv,aegee14,artlover55
tgambo2,ayecats,buchajo,coryflo
tgurnett,cstovall6,cw561128,frankstewart
thebestbunny,hancopy,hmreck88,kickininonjava
thommie,kingwhitemocha,knrh,leahsmith101
timsqueen,locamami,lvzmycoffee,meglerz
tjcleve,mm3bmw1,mochadogmiller,nanapeanut
tkfoss,running4grace,srasmil,srmike
tmac17,starlynn91,sullsandra,vanessabr
trtlgrl,sara123,rei727887,starluv5
trucktruck,bzzygrrl,mznomad55,nyspyguy
truenorthblond,lobtersunrise,freebies,djulija
trw5099,entail,katsrobinson,ventiquad
trw7621,awsi,babybird,bellanicole44
trwart,biff12,branderburg,coffeebuster
tulefog,coffeegirl2300,coffeej123,cracked
usedtobeafan,dnbags,echocat,fitafter50
vlatte24,gawthcomic,giftspritze,jasminemax1234
whidbeyrocks,jimbow98,jose105,karbari
wineag,katiewirtz,keithljarvis,littlefix
wychykelly,mackey123,mendozaernie13,michelle123
xpelled,mykindajoe,emd220,considerlilies
yesirish,costacy24,dagar2469,frompus
yogakitty,gatorstacie1,jamacattack,kayleigh_b1
yogasoylatte,indygirl80,goldstardiva,dukenuke
zkatk,airborne626,beatricehuerta,macfamm
zschmidl,lilcoop,nadirehs,penandra
zuroffh1,angelsonja,daily,dsm363
